@relation dataset-gender

@attribute 'top artists listen percent' numeric
@attribute 'lowe word count in songs' numeric
@attribute 'count of different tags in top artists' numeric
@attribute playcount numeric
@attribute 'top artists total listeners' numeric
@attribute gender {m,f}

@data
0.172602,5,9,61807,10668,m
0.151908,1,10,40755,6191,m
0.331306,0,9,3782,1253,f
0.060401,2,10,10629,642,m
0.214134,2,7,159358,34124,m
0.150273,2,8,29646,4455,f
0.055939,2,12,177139,9909,m
0.088641,0,8,184577,16361,m
0.298539,7,13,224972,67163,m
0.153644,3,11,185709,28533,f
0.201638,2,9,92041,18559,m
0.407435,6,10,32469,13229,f
0.081027,6,12,43356,3513,m
0.1337,2,7,26552,3550,m
0.169117,3,5,55837,9443,m
0.148938,1,11,122078,18182,f
0.091103,5,9,74652,6801,f
0.233267,2,8,8561,1997,m
0.129699,2,11,95136,12339,m
0.122954,1,12,41487,5101,m
0.218026,3,9,8765,1911,f
0.08316,2,7,139575,11607,m
0.16133,2,10,40755,6575,m
0.195564,4,9,4193,820,m
0.233761,0,10,59501,13909,f
0.111379,0,11,131129,14605,m
0.322484,4,10,31338,10106,f
0.372337,10,6,47312,17616,f
0.192429,6,10,224540,43208,m
0.362058,9,8,63128,22856,f
0.100071,1,13,68591,6864,m
0.100512,1,11,241344,24258,m
0.112063,2,11,89066,9981,m
0.203136,7,10,41583,8447,f
0.397204,54,9,71399,28360,m
0.236111,2,13,864,204,m
0.208689,2,7,46888,9785,f
0.144789,1,5,1257,182,m
0.430569,7,10,4076,1755,f
0.197053,5,11,58157,11460,f
0.339713,7,12,20220,6869,m
0.680258,2,5,466,317,m
0.55044,2,9,23979,13199,f
0.169865,0,7,36064,6126,m
0.046049,8,9,127712,5881,m
0.270856,0,10,90753,24581,m
0.243196,1,5,1139,277,f
0.149368,4,8,104815,15656,m
0.110713,0,10,49678,5500,f
0.156658,1,9,78649,12321,m
0.380952,0,6,21,8,m
0.128327,11,11,40280,5169,f
0.378788,1,8,7854,2975,m
0.111164,10,4,92719,10307,m
0.22852,3,7,20659,4721,m
0.069401,1,7,171770,11921,m
0.165331,5,11,70634,11678,m
0.094281,1,11,44590,4204,f
0.130485,4,11,2621,342,m
0.186576,1,9,135934,25362,m
0.04149,4,12,710910,29496,m
0.278294,17,8,8509,2368,f
0.183542,3,10,53895,9892,f
0.134256,0,10,107355,14413,m
0.180769,1,14,73016,13199,f
1,3,6,80,80,f
0.245625,0,11,46058,11313,m
0.200527,2,8,58047,11640,f
0.136335,3,9,22122,3016,m
0.230786,2,9,13662,3153,m
0.160476,6,8,89378,14343,f
0.152137,0,6,69983,10647,f
0.0498,0,7,25301,1260,m
