@relation Rel

@attribute someFeature {someResult}
@attribute someNumeric numeric
@attribute gender {m,f,n}

@data
someResult,3.14,f
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,f
someResult,3.14,f
someResult,3.14,m
someResult,3.14,f
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,m
someResult,3.14,f
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,f
someResult,3.14,n
someResult,3.14,m
someResult,3.14,f
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,f
someResult,3.14,n
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,f
someResult,3.14,m
someResult,3.14,n
someResult,3.14,f
someResult,3.14,n
someResult,3.14,f
someResult,3.14,n
someResult,3.14,m
someResult,3.14,n
someResult,3.14,f
someResult,3.14,m
someResult,3.14,n
someResult,3.14,m
someResult,3.14,n
someResult,3.14,m
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,n
someResult,3.14,f
someResult,3.14,f
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,m
someResult,3.14,n
someResult,3.14,f
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,f
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,f
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,m
someResult,3.14,f
someResult,3.14,m
someResult,3.14,m
someResult,3.14,f
someResult,3.14,m
someResult,3.14,n
someResult,3.14,f
someResult,3.14,n
someResult,3.14,n
someResult,3.14,f
someResult,3.14,m
someResult,3.14,f
someResult,3.14,n
someResult,3.14,f
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,m
someResult,3.14,m
someResult,3.14,f
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,m
someResult,3.14,m
someResult,3.14,f
someResult,3.14,m
someResult,3.14,f
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,f
someResult,3.14,n
someResult,3.14,n
someResult,3.14,f
someResult,3.14,m
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,f
someResult,3.14,n
someResult,3.14,m
someResult,3.14,f
someResult,3.14,m
someResult,3.14,n
someResult,3.14,f
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,f
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,f
someResult,3.14,m
someResult,3.14,f
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,f
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,f
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,f
someResult,3.14,m
someResult,3.14,n
someResult,3.14,m
someResult,3.14,n
someResult,3.14,m
someResult,3.14,f
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,f
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,f
someResult,3.14,m
someResult,3.14,n
someResult,3.14,f
someResult,3.14,n
someResult,3.14,m
someResult,3.14,f
someResult,3.14,m
someResult,3.14,f
someResult,3.14,n
someResult,3.14,m
someResult,3.14,n
someResult,3.14,f
someResult,3.14,n
someResult,3.14,m
someResult,3.14,f
someResult,3.14,m
someResult,3.14,n
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,f
someResult,3.14,n
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,f
someResult,3.14,m
someResult,3.14,m
someResult,3.14,m
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,n
someResult,3.14,m
someResult,3.14,m
someResult,3.14,m
